@relation test
@attribute feature1 real
@attribute feature2 real
@attribute feature3 real
@attribute feature4 real
@attribute feature5 real
@attribute feature6 real
@attribute feature7 real
@attribute feature8 real
@attribute class {1, 2}
@data
 1,  2,  2,  2,  2,  3,  3,  1, 1
 9,  2,  2,  3,  2,  5,  4,  2, 2
 6,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  1,  3,  2,  1,  3,  2, 1
 1,  2,  2,  3,  1,  4,  4,  1, 1
 3,  2,  2,  3,  2,  2,  3,  1, 1
 6,  2,  2,  2,  1,  5,  2,  1, 2
 1,  2,  2,  3,  2,  1,  4,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  2,  1,  3,  1, 1
 1,  2,  2,  3,  1,  1,  4,  2, 1
 1,  2,  2,  3,  1,  1,  2,  2, 1
 1,  2,  2,  3,  1,  1,  2,  2, 1
 1,  2,  2,  3,  2,  2,  1,  1, 1
 6,  2,  2,  2,  1,  5,  4,  3, 2
 6,  2,  1,  3,  2,  5,  4,  2, 2
 9,  2,  2,  3,  2,  5,  4,  2, 2
 6,  2,  2,  3,  1,  5,  2,  2, 1
 1,  2,  2,  2,  1,  2,  3,  1, 1
 6,  2,  2,  3,  1,  5,  4,  2, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 9,  2,  2,  3,  2,  5,  4,  2, 2
 9,  2,  2,  3,  2,  5,  4,  2, 2
 6,  2,  2,  1,  1,  5,  2,  2, 2
 9,  2,  2,  3,  2,  5,  4,  3, 1
 1,  2,  2,  2,  2,  3,  3,  1, 1
 6,  2,  2,  2,  1,  4,  4,  2, 2
 1,  2,  1,  3,  1,  1,  2,  1, 1
 1,  2,  2,  3,  2,  2,  4,  1, 1
 9,  2,  2,  3,  2,  5,  4,  2, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  1,  4,  3,  3, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  1,  3,  2,  1,  3,  2, 1
 1,  2,  2,  1,  2,  1,  3,  2, 1
 6,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  1,  3,  3,  1, 1
 1,  2,  1,  3,  2,  1,  2,  2, 1
 1,  2,  2,  1,  1,  1,  3,  2, 1
 3,  2,  2,  3,  1,  4,  2,  1, 2
 6,  2,  2,  3,  1,  5,  4,  2, 2
 1,  2,  2,  3,  2,  3,  4,  1, 2
 1,  2,  2,  2,  2,  1,  2,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  1,  3,  2,  1,  2,  2, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  2,  2,  4,  2, 1
 1,  2,  2,  1,  1,  4,  2,  2, 1
 6,  2,  2,  3,  1,  5,  4,  1, 2
 1,  2,  2,  3,  2,  3,  4,  1, 1
 1,  2,  1,  3,  2,  1,  3,  2, 1
 1,  2,  2,  2,  2,  1,  2,  1, 1
 6,  2,  2,  3,  2,  5,  4,  2, 2
 6,  2,  2,  3,  1,  5,  4,  1, 1
 1,  2,  2,  3,  1,  3,  4,  1, 1
 1,  2,  2,  3,  2,  2,  3,  1, 1
 1,  2,  2,  2,  2,  3,  2,  1, 1
 1,  2,  2,  2,  2,  2,  2,  1, 1
 1,  2,  1,  3,  2,  1,  4,  2, 1
 1,  2,  2,  3,  2,  3,  4,  1, 2
 6,  2,  2,  3,  1,  5,  4,  2, 2
 1,  2,  2,  3,  2,  1,  2,  1, 1
 1,  2,  2,  3,  2,  3,  3,  1, 1
 1,  2,  2,  3,  2,  1,  3,  1, 1
 3,  2,  2,  3,  1,  4,  4,  2, 2
 1,  2,  2,  3,  2,  2,  2,  1, 1
 6,  2,  2,  3,  1,  5,  2,  3, 2
 1,  2,  2,  3,  1,  4,  1,  1, 2
 1,  2,  2,  2,  2,  1,  3,  2, 1
 1,  2,  2,  2,  2,  1,  3,  1, 1
 1,  2,  2,  2,  2,  1,  3,  1, 1
 1,  2,  2,  3,  2,  3,  3,  1, 2
 1,  2,  1,  3,  2,  1,  2,  2, 1
 1,  2,  2,  3,  1,  1,  2,  1, 1
 1,  2,  2,  3,  2,  5,  4,  1, 1
 9,  2,  2,  3,  1,  3,  4,  1, 1
 9,  2,  1,  3,  2,  1,  2,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  2,  2,  3,  2,  1, 1
 6,  2,  2,  1,  1,  5,  3,  2, 1
 1,  2,  2,  3,  1,  2,  4,  1, 1
 6,  2,  2,  3,  2,  5,  4,  1, 2
 9,  2,  2,  3,  2,  5,  4,  2, 2
 9,  2,  1,  3,  2,  5,  4,  2, 2
 9,  2,  2,  3,  2,  5,  4,  3, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 9,  2,  1,  3,  2,  5,  4,  2, 2
 1,  2,  2,  3,  1,  1,  4,  1, 1
 1,  2,  2,  3,  1,  2,  4,  1, 1
 1,  2,  1,  3,  1,  1,  3,  1, 1
 9,  2,  2,  3,  2,  5,  4,  2, 2
 4,  2,  2,  2,  1,  1,  2,  2, 2
 6,  2,  2,  3,  2,  5,  4,  1, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 6,  2,  2,  1,  1,  5,  2,  2, 2
 9,  2,  2,  3,  2,  5,  3,  3, 2
 9,  2,  2,  3,  2,  5,  4,  2, 1
 1,  2,  2,  3,  2,  1,  3,  1, 1
 9,  2,  2,  3,  2,  5,  4,  3, 2
 6,  2,  2,  3,  1,  5,  4,  2, 2
 9,  2,  2,  3,  2,  4,  4,  1, 2
 1,  2,  2,  3,  1,  2,  3,  1, 1
 9,  2,  1,  3,  2,  5,  4,  1, 2
 1,  2,  2,  2,  2,  3,  2,  1, 1
 6,  2,  2,  1,  1,  5,  3,  2, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  2,  3,  2,  1, 1
 1,  2,  2,  3,  2,  3,  2,  1, 1
 9,  2,  1,  3,  2,  5,  4,  1, 2
 1,  2,  1,  3,  2,  1,  4,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 6,  2,  2,  1,  1,  5,  3,  2, 1
 1,  2,  2,  2,  2,  3,  2,  1, 1
 1,  2,  2,  2,  1,  1,  2,  1, 1
 1,  2,  2,  3,  2,  2,  4,  1, 1
 1,  2,  2,  1,  1,  4,  2,  2, 1
 6,  2,  2,  3,  2,  5,  4,  3, 2
 1,  2,  2,  2,  2,  5,  3,  2, 1
 1,  2,  2,  2,  2,  4,  3,  2, 1
 9,  2,  2,  3,  2,  5,  4,  3, 2
 9,  2,  1,  3,  2,  5,  4,  1, 2
 6,  2,  2,  1,  1,  5,  2,  2, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  2,  1,  1,  2,  2, 1
 6,  2,  2,  3,  1,  5,  4,  2, 2
 1,  2,  2,  3,  1,  4,  4,  2, 2
 6,  2,  2,  3,  2,  5,  4,  2, 2
 6,  2,  2,  1,  1,  4,  3,  1, 2
 1,  2,  2,  1,  1,  4,  2,  2, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  2,  5,  3,  1, 1
 6,  2,  2,  2,  1,  5,  1,  2, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 6,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  2,  2,  1,  2,  1, 1
 9,  2,  2,  3,  2,  5,  4,  3, 2
 1,  2,  2,  2,  2,  2,  3,  1, 1
 1,  2,  1,  3,  2,  1,  4,  1, 1
 3,  2,  2,  3,  2,  4,  4,  1, 2
 6,  2,  2,  3,  1,  5,  4,  1, 2
 3,  2,  1,  3,  2,  1,  4,  2, 2
 1,  2,  2,  2,  1,  4,  3,  1, 2
 1,  2,  1,  3,  2,  1,  3,  1, 1
 1,  2,  2,  2,  2,  1,  3,  1, 1
 3,  2,  2,  3,  2,  3,  4,  1, 2
 1,  2,  1,  3,  2,  1,  2,  2, 1
 1,  2,  1,  3,  2,  5,  3,  1, 1
 1,  2,  2,  1,  1,  2,  1,  2, 1
 1,  2,  2,  3,  1,  2,  2,  3, 1
 5,  2,  1,  1,  2,  1,  4,  1, 1
 6,  2,  2,  3,  1,  5,  1,  1, 2
 8,  2,  2,  3,  2,  2,  3,  1, 2
 9,  2,  2,  3,  2,  5,  4,  2, 2
 1,  2,  2,  1,  1,  4,  2,  2, 2
 7,  2,  2,  2,  2,  3,  3,  1, 2
 9,  2,  2,  3,  2,  5,  4,  2, 2
 1,  2,  1,  2,  2,  1,  3,  1, 1
 1,  2,  2,  2,  2,  1,  2,  1, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  1,  1,  2,  1, 1
 1,  1,  2,  3,  1,  5,  2,  2, 1
 6,  2,  2,  3,  1,  5,  4,  2, 1
 1,  2,  2,  3,  2,  1,  2,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  2,  1,  4,  1, 1
 6,  2,  2,  3,  2,  5,  4,  1, 2
 9,  2,  1,  3,  2,  1,  4,  2, 1
 9,  2,  2,  3,  2,  1,  4,  1, 1
 6,  2,  1,  3,  2,  5,  4,  1, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 6,  2,  2,  2,  1,  5,  3,  2, 1
 6,  2,  2,  1,  1,  5,  2,  2, 1
 6,  2,  2,  3,  2,  5,  4,  2, 1
 6,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  2,  2,  3,  1, 1
 1,  2,  2,  3,  2,  2,  4,  1, 2
 1,  2,  2,  2,  2,  2,  2,  1, 1
 1,  2,  2,  3,  2,  1,  2,  3, 1
 6,  2,  2,  3,  1,  5,  4,  1, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 9,  2,  2,  3,  2,  5,  4,  2, 2
 9,  2,  1,  3,  2,  1,  3,  1, 1
 9,  2,  2,  3,  2,  5,  4,  3, 2
 1,  2,  2,  3,  2,  3,  3,  1, 1
 6,  2,  2,  3,  2,  5,  4,  1, 2
 3,  2,  2,  2,  2,  1,  3,  2, 1
 3,  2,  2,  2,  1,  2,  3,  2, 1
 1,  2,  1,  3,  2,  1,  4,  1, 1
 6,  2,  2,  3,  2,  5,  4,  1, 2
 6,  2,  2,  3,  2,  5,  4,  1, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  1,  2,  1,  3,  2, 1
 1,  2,  2,  3,  2,  2,  3,  1, 1
 1,  2,  2,  2,  2,  2,  3,  1, 1
 6,  2,  2,  3,  1,  5,  4,  2, 2
 6,  2,  2,  3,  1,  5,  4,  3, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  1,  1,  4,  3,  2, 2
 6,  2,  2,  3,  1,  5,  2,  1, 2
 1,  2,  2,  2,  2,  1,  2,  2, 1
 9,  2,  1,  3,  2,  5,  4,  1, 2
 1,  2,  2,  2,  2,  1,  3,  1, 1
 1,  2,  2,  3,  2,  1,  4,  2, 1
 9,  2,  2,  2,  2,  3,  3,  1, 1
 1,  2,  2,  3,  2,  1,  4,  1, 1
 9,  2,  2,  3,  2,  5,  4,  2, 2
 6,  2,  2,  3,  2,  5,  4,  2, 2
 1,  2,  2,  2,  2,  2,  3,  3, 1
 1,  2,  2,  3,  2,  1,  4,  2, 1
 6,  2,  2,  1,  1,  5,  1,  2, 1
 1,  2,  1,  3,  2,  1,  3,  1, 1
 9,  2,  2,  3,  2,  5,  4,  2, 2
 1,  2,  2,  3,  2,  3,  4,  1, 2
 1,  2,  2,  3,  2,  3,  4,  1, 2
 6,  2,  2,  2,  1,  5,  2,  1, 2
 3,  2,  2,  3,  1,  4,  2,  1, 2
 1,  2,  2,  3,  2,  2,  2,  1, 1
 1,  2,  2,  3,  2,  1,  3,  1, 1
 1,  2,  2,  3,  2,  2,  4,  3, 1
 9,  2,  2,  3,  2,  5,  4,  3, 2
 9,  2,  2,  3,  2,  5,  4,  2, 2
 1,  2,  2,  3,  2,  2,  4,  1, 1
 9,  2,  2,  3,  2,  5,  4,  2, 2
 1,  2,  2,  2,  2,  2,  2,  1, 1
 1,  2,  2,  3,  1,  1,  4,  1, 1
 9,  2,  2,  3,  2,  5,  4,  2, 2
 3,  2,  2,  3,  2,  4,  2,  2, 2
 1,  2,  2,  3,  1,  3,  4,  1, 1
 1,  2,  2,  3,  1,  1,  4,  1, 1
 6,  2,  2,  3,  1,  5,  4,  2, 2
 9,  2,  2,  3,  2,  5,  4,  2, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 6,  2,  2,  3,  1,  5,  2,  1, 2
 9,  2,  2,  3,  2,  5,  4,  2, 1
 9,  2,  1,  2,  2,  1,  4,  1, 1
 1,  2,  2,  3,  2,  1,  3,  2, 1
 9,  2,  2,  3,  2,  2,  4,  1, 1
 6,  2,  2,  1,  1,  5,  2,  2, 2
 6,  2,  2,  2,  1,  5,  1,  1, 2
 9,  2,  2,  3,  2,  3,  4,  1, 2
 1,  2,  2,  3,  2,  1,  4,  2, 1
 9,  2,  2,  3,  2,  5,  4,  3, 2
 1,  2,  2,  3,  2,  2,  4,  1, 1
 1,  2,  2,  3,  2,  1,  4,  1, 1
 1,  2,  2,  2,  2,  5,  2,  2, 1
 6,  2,  2,  1,  1,  5,  1,  2, 2
 6,  2,  2,  3,  2,  5,  4,  2, 2
 1,  2,  2,  3,  2,  1,  3,  1, 1
 1,  2,  1,  3,  2,  1,  4,  2, 1
 9,  2,  2,  3,  2,  5,  4,  3, 2
 1,  2,  1,  3,  2,  1,  2,  1, 1
 9,  2,  1,  3,  2,  1,  2,  2, 1
 7,  2,  2,  2,  1,  3,  3,  1, 2
 1,  2,  2,  3,  2,  1,  4,  3, 1
 1,  2,  2,  2,  1,  1,  2,  1, 1
 1,  2,  2,  3,  2,  2,  1,  1, 1
 1,  2,  2,  2,  1,  1,  3,  1, 1
 1,  2,  1,  3,  2,  5,  3,  1, 1
 1,  2,  2,  3,  2,  3,  4,  1, 1
 6,  2,  2,  3,  2,  5,  4,  3, 2
 1,  2,  2,  2,  2,  3,  4,  3, 1
 1,  2,  2,  3,  2,  5,  4,  3, 1
 1,  2,  1,  3,  2,  1,  3,  2, 1
 1,  2,  2,  3,  2,  2,  4,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 6,  2,  2,  3,  1,  5,  2,  2, 1
 1,  1,  2,  1,  1,  3,  2,  1, 1
 6,  2,  2,  3,  1,  5,  4,  2, 1
 1,  2,  1,  3,  2,  1,  4,  1, 1
 1,  2,  2,  3,  2,  3,  4,  1, 1
 1,  2,  2,  3,  2,  3,  4,  1, 1
 9,  2,  2,  3,  2,  1,  4,  1, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  1,  4,  4,  2, 2
 3,  2,  2,  3,  1,  4,  4,  2, 2
 1,  2,  2,  3,  2,  2,  4,  1, 1
 6,  2,  2,  3,  2,  5,  4,  1, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  1,  3,  2,  1,  3,  2, 1
 1,  2,  2,  3,  2,  1,  3,  1, 1
 9,  2,  2,  3,  2,  5,  4,  2, 2
 3,  2,  1,  3,  2,  1,  3,  2, 1
 1,  2,  2,  3,  2,  1,  3,  2, 1
 9,  2,  1,  3,  2,  5,  4,  2, 2
 1,  2,  2,  3,  2,  2,  3,  1, 1
 1,  2,  2,  3,  1,  1,  3,  1, 1
 1,  2,  2,  2,  2,  2,  2,  1, 1
 1,  2,  2,  3,  2,  2,  2,  1, 1
 6,  2,  2,  3,  2,  5,  4,  2, 2
 9,  2,  2,  3,  2,  5,  4,  2, 2
 1,  2,  2,  2,  2,  2,  2,  1, 1
 6,  2,  2,  1,  1,  5,  4,  2, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  2,  1,  4,  3,  2, 2
 1,  2,  2,  2,  2,  1,  3,  3, 1
 9,  2,  2,  3,  2,  5,  4,  3, 2
 1,  2,  1,  3,  2,  1,  4,  1, 1
 9,  2,  2,  3,  2,  5,  4,  3, 2
 1,  2,  2,  3,  2,  2,  2,  1, 1
 6,  2,  2,  2,  1,  5,  2,  2, 2
 6,  2,  2,  3,  1,  5,  2,  1, 2
 1,  2,  2,  2,  2,  1,  3,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  1,  1,  2,  2,  2, 1
 6,  2,  2,  3,  1,  5,  4,  1, 2
 6,  2,  2,  3,  2,  3,  2,  1, 2
 6,  2,  2,  3,  1,  5,  4,  2, 2
 9,  2,  2,  3,  2,  5,  4,  3, 2
 3,  2,  2,  3,  2,  1,  4,  1, 2
 6,  2,  2,  3,  1,  3,  4,  1, 2
 9,  2,  2,  3,  2,  5,  3,  1, 2
 6,  2,  2,  3,  1,  5,  3,  2, 1
 1,  2,  2,  2,  2,  3,  3,  1, 1
 1,  2,  2,  3,  2,  1,  2,  1, 1
 1,  2,  2,  3,  2,  1,  4,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  1,  2,  3,  1,  1,  4,  2, 1
 1,  2,  2,  3,  2,  2,  2,  1, 1
 6,  2,  2,  2,  1,  5,  2,  3, 2
 1,  2,  2,  3,  1,  3,  3,  1, 1
 1,  2,  1,  3,  2,  1,  2,  3, 1
 1,  2,  2,  3,  2,  2,  3,  1, 1
 9,  2,  2,  3,  2,  5,  4,  3, 2
 6,  2,  2,  2,  2,  5,  4,  1, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  2,  1,  2,  1, 1
 1,  2,  2,  2,  2,  3,  3,  1, 2
 1,  2,  2,  3,  2,  1,  3,  1, 1
 9,  2,  1,  3,  2,  5,  4,  1, 2
 1,  2,  1,  3,  2,  1,  2,  2, 1
 1,  2,  2,  2,  1,  2,  3,  1, 1
 5,  2,  2,  3,  2,  3,  3,  1, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  2,  1,  3,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 6,  2,  2,  2,  1,  5,  2,  3, 1
 3,  2,  2,  2,  1,  4,  2,  1, 2
 6,  2,  2,  3,  1,  5,  4,  2, 2
 6,  2,  2,  1,  1,  5,  2,  2, 1
 1,  2,  2,  3,  2,  1,  4,  1, 1
 1,  2,  2,  2,  2,  3,  2,  1, 1
 6,  2,  2,  2,  1,  5,  3,  2, 2
 1,  2,  2,  2,  1,  1,  1,  1, 1
 1,  2,  1,  3,  2,  1,  4,  3, 1
 1,  2,  2,  2,  2,  1,  4,  2, 1
 1,  2,  2,  3,  1,  3,  4,  1, 1
 9,  2,  2,  3,  2,  3,  4,  2, 2
 9,  2,  2,  3,  2,  1,  4,  1, 1
 1,  2,  2,  3,  1,  1,  4,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  1,  3,  4,  1, 1
 1,  2,  2,  2,  2,  3,  2,  1, 1
 6,  2,  2,  3,  1,  5,  1,  3, 2
 1,  2,  1,  3,  2,  1,  2,  1, 1
 9,  2,  2,  3,  2,  5,  4,  3, 2
 1,  2,  2,  3,  2,  1,  2,  1, 1
 6,  2,  2,  2,  1,  5,  3,  2, 2
 1,  2,  2,  2,  1,  2,  3,  1, 1
 6,  2,  2,  3,  1,  5,  4,  2, 1
 1,  2,  2,  3,  1,  4,  4,  2, 2
 9,  2,  2,  3,  1,  1,  4,  1, 1
 1,  2,  2,  3,  2,  1,  4,  1, 1
 1,  2,  2,  3,  2,  1,  4,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  2,  5,  3,  3, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  2,  1,  2,  2, 1
 1,  2,  2,  3,  1,  4,  4,  2, 1
 6,  2,  2,  3,  1,  5,  4,  2, 1
 1,  2,  2,  3,  1,  3,  4,  1, 1
 1,  2,  2,  3,  2,  2,  4,  1, 2
 1,  2,  2,  3,  2,  2,  4,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 6,  2,  2,  1,  1,  5,  3,  2, 2
 1,  2,  1,  3,  2,  1,  2,  2, 1
 1,  2,  2,  3,  2,  5,  4,  1, 1
 1,  2,  2,  3,  2,  2,  4,  1, 1
 1,  2,  2,  3,  1,  1,  3,  1, 1
 6,  2,  2,  2,  1,  5,  3,  1, 2
 6,  2,  2,  3,  1,  5,  4,  1, 2
 6,  2,  2,  1,  1,  5,  2,  2, 1
 6,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  1,  3,  2,  1,  4,  2, 1
 1,  2,  2,  3,  2,  3,  2,  1, 2
 1,  2,  2,  3,  2,  1,  3,  3, 1
 6,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  2,  2,  3,  2,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 5,  2,  1,  3,  2,  1,  4,  2, 2
 1,  2,  2,  3,  2,  3,  3,  1, 1
 9,  2,  2,  3,  2,  5,  4,  2, 1
 9,  2,  2,  3,  2,  5,  4,  2, 1
 1,  2,  2,  3,  2,  2,  2,  1, 1
 9,  2,  2,  3,  2,  5,  4,  3, 1
 1,  2,  2,  3,  2,  2,  3,  1, 1
 6,  2,  2,  3,  2,  5,  4,  1, 2
 9,  2,  2,  2,  2,  5,  2,  3, 1
 1,  2,  2,  3,  2,  1,  2,  2, 1
 1,  2,  2,  2,  1,  4,  2,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 6,  2,  2,  3,  2,  5,  4,  1, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  1,  3,  2,  1,  2,  2, 1
 6,  2,  2,  3,  2,  5,  2,  3, 2
 6,  2,  2,  2,  1,  5,  3,  3, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  1,  3,  2,  1,  2,  2, 1
 1,  2,  2,  3,  2,  1,  3,  1, 1
 1,  2,  2,  3,  2,  2,  4,  1, 1
 9,  2,  2,  3,  2,  1,  2,  2, 1
 9,  2,  1,  3,  2,  5,  4,  1, 2
 1,  2,  2,  2,  2,  1,  3,  1, 2
 6,  2,  2,  3,  2,  5,  2,  2, 2
 4,  2,  2,  1,  1,  2,  4,  2, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 6,  2,  2,  3,  2,  5,  4,  2, 2
 1,  2,  2,  3,  2,  2,  3,  1, 1
 6,  2,  2,  3,  2,  5,  4,  3, 2
 6,  2,  2,  3,  1,  5,  4,  2, 1
 1,  2,  2,  2,  1,  4,  2,  2, 1
 1,  2,  1,  3,  2,  1,  2,  1, 1
 1,  2,  2,  3,  2,  4,  4,  1, 2
 6,  2,  2,  3,  2,  5,  4,  1, 2
 6,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  2,  1,  2,  1, 1
 6,  2,  2,  1,  1,  5,  3,  2, 1
 1,  2,  2,  2,  2,  3,  3,  1, 1
 6,  2,  2,  3,  1,  5,  4,  2, 2
 5,  2,  1,  3,  1,  1,  4,  1, 1
 9,  2,  2,  2,  2,  1,  3,  3, 1
 1,  2,  2,  3,  1,  2,  3,  1, 1
 5,  2,  2,  3,  2,  1,  4,  1, 1
 9,  2,  2,  3,  2,  5,  4,  2, 2
 9,  2,  1,  3,  2,  1,  3,  1, 1
 1,  2,  2,  1,  1,  1,  3,  2, 1
 1,  2,  1,  3,  2,  1,  2,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 6,  2,  2,  2,  1,  4,  2,  1, 2
 9,  2,  2,  3,  2,  5,  4,  1, 1
 1,  2,  2,  2,  1,  2,  3,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 4,  2,  2,  1,  1,  1,  3,  2, 1
 9,  2,  2,  3,  2,  5,  4,  2, 2
 7,  2,  2,  3,  2,  3,  2,  1, 1
 1,  2,  2,  2,  2,  3,  3,  3, 1
 1,  1,  2,  2,  1,  3,  3,  1, 1
 1,  2,  2,  2,  1,  1,  3,  1, 1
 9,  2,  1,  3,  2,  5,  4,  1, 2
 1,  2,  1,  3,  2,  1,  3,  2, 1
 6,  2,  2,  2,  1,  5,  3,  2, 1
 5,  2,  1,  3,  2,  1,  4,  1, 1
 6,  2,  2,  2,  1,  5,  2,  1, 2
 1,  2,  2,  3,  2,  1,  2,  2, 1
 9,  2,  1,  3,  2,  5,  4,  2, 2
 1,  2,  2,  2,  1,  2,  4,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  2,  1,  3,  1, 1
 9,  2,  2,  3,  2,  5,  4,  2, 2
 1,  2,  1,  2,  2,  1,  2,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 6,  2,  2,  3,  1,  5,  2,  1, 2
 1,  2,  2,  2,  2,  2,  3,  1, 1
 9,  2,  2,  3,  2,  5,  4,  3, 2
 9,  2,  2,  3,  2,  5,  4,  3, 2
 9,  2,  2,  2,  1,  3,  2,  1, 2
 9,  2,  2,  2,  1,  4,  2,  1, 2
 6,  2,  2,  2,  1,  5,  2,  3, 2
 6,  2,  2,  2,  1,  5,  3,  2, 2
 1,  1,  2,  3,  1,  3,  4,  1, 1
 9,  2,  2,  3,  2,  5,  4,  3, 2
 9,  2,  1,  3,  2,  5,  4,  1, 2
 6,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  1,  3,  2,  5,  3,  1, 1
 6,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  2,  4,  4,  1, 2
 1,  2,  1,  3,  2,  1,  4,  2, 1
 5,  2,  1,  3,  2,  1,  4,  2, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 4,  2,  2,  3,  2,  1,  4,  2, 2
 9,  2,  2,  3,  2,  5,  4,  1, 2
 6,  2,  2,  3,  2,  5,  3,  2, 2
 9,  2,  1,  2,  2,  5,  2,  1, 2
 4,  2,  2,  2,  2,  2,  2,  3, 1
 5,  2,  2,  2,  2,  2,  4,  1, 1
 9,  2,  2,  3,  2,  5,  4,  2, 2
 6,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  2,  2,  4,  1, 1
 9,  2,  2,  3,  2,  5,  4,  2, 2
 1,  2,  1,  3,  2,  1,  3,  2, 1
 6,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  2,  1,  3,  2, 1
 1,  2,  2,  3,  2,  1,  3,  2, 1
 1,  2,  2,  1,  1,  4,  3,  2, 1
 3,  2,  1,  2,  1,  1,  3,  1, 1
 6,  2,  2,  3,  2,  5,  4,  1, 2
 1,  1,  2,  2,  1,  3,  3,  1, 2
 1,  2,  2,  2,  2,  1,  3,  1, 1
 1,  2,  2,  3,  2,  1,  4,  2, 1
 1,  2,  2,  3,  2,  1,  4,  1, 1
 9,  2,  2,  3,  2,  5,  4,  1, 2
 1,  2,  2,  3,  2,  1,  4,  1, 1
 3,  2,  2,  3,  2,  2,  2,  1, 2
 1,  2,  2,  2,  2,  1,  2,  1, 1
 5,  2,  1,  3,  2,  1,  1,  2, 2
 1,  2,  2,  3,  2,  1,  4,  1, 1
 1,  2,  1,  3,  2,  1,  4,  1, 1
 1,  2,  2,  3,  2,  1,  3,  1, 1
